AVAILABLE,COMBINATION,
100 | 0 | 0 | 0 | 100 | 100 | 0 | 0 | 0,012100212,
100 | 100 | 0 | 0 | 100 | 0 | 100 | 100 | 0,002101002,
100 | 100 | 0 | 0 | 100 | 0 | 0 | 0 | 0,002102211,
100 | 100 | 0 | 0 | 0 | 0 | 0 | 0 | 100,002211120,
0 | 100 | 0 | 100 | 100 | 100 | 0 | 100 | 0,101000202,
100 | 0 | 100 | 0 | 0 | 0 | 0 | 100 | 0,010112202,
100 | 100 | 0 | 0 | 0 | 0 | 100 | 0 | 0,001211022,
100 | 100 | 0 | 0 | 100 | 0 | 0 | 0 | 0,001102221,
0 | 100 | 0 | 0 | 0 | 100 | 0 | 100 | 0,102110202,
100 | 100 | 100 | 0 | 0 | 0 | 0 | 0 | 0,000212121,
100 | 100 | 100 | 0 | 0 | 0 | 100 | 100 | 0,000212001,
100 | 100 | 0 | 0 | 100 | 100 | 100 | 0 | 0,001200012,
100 | 100 | 100 | 0 | 100 | 0 | 100 | 0 | 0,000101022,
