2022-04-27 23:38:24.657 [main] INFO  org.apache.logging.log4j.LogManager - Board mirror found 200010000->000010002
2022-04-27 23:38:24.658 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000010002
2022-04-27 23:38:24.658 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 2, 1
2022-04-27 23:38:24.658 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000010012
2022-04-27 23:38:24.659 [main] INFO  org.apache.logging.log4j.LogManager - Board mirror found 020010012->000112200
2022-04-27 23:38:24.659 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000112200
2022-04-27 23:38:24.659 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 0, 1
2022-04-27 23:38:24.660 [main] INFO  org.apache.logging.log4j.LogManager - Board state 010112200
2022-04-27 23:38:24.661 [main] INFO  org.apache.logging.log4j.LogManager - Board state 010112220
2022-04-27 23:38:24.661 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 2, 2
2022-04-27 23:38:24.661 [main] INFO  org.apache.logging.log4j.LogManager - Board state 010112221
2022-04-27 23:38:24.662 [main] INFO  org.apache.logging.log4j.LogManager - Board state 210112221
2022-04-27 23:38:24.662 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 0, 2
2022-04-27 23:38:24.662 [main] INFO  org.apache.logging.log4j.LogManager - Draw: 211112221
2022-04-27 23:38:24.663 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000000000
2022-04-27 23:38:24.663 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 1, 2
2022-04-27 23:38:24.663 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000001000
2022-04-27 23:38:24.664 [main] INFO  org.apache.logging.log4j.LogManager - Board mirror found 000021000->000020010
2022-04-27 23:38:24.664 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000020010
2022-04-27 23:38:24.664 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 2, 2
2022-04-27 23:38:24.665 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000020011
2022-04-27 23:38:24.665 [main] INFO  org.apache.logging.log4j.LogManager - Board mirror found 000020211->000020112
2022-04-27 23:38:24.666 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000020112
2022-04-27 23:38:24.666 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 0, 0
2022-04-27 23:38:24.666 [main] INFO  org.apache.logging.log4j.LogManager - Board state 100020112
2022-04-27 23:38:24.667 [main] INFO  org.apache.logging.log4j.LogManager - Board mirror found 100220112->001022211
2022-04-27 23:38:24.667 [main] INFO  org.apache.logging.log4j.LogManager - Board state 001022211
2022-04-27 23:38:24.667 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 0, 0
2022-04-27 23:38:24.667 [main] INFO  org.apache.logging.log4j.LogManager - Board state 101022211
2022-04-27 23:38:24.667 [main] INFO  org.apache.logging.log4j.LogManager - Human: 101222211
2022-04-27 23:38:24.668 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000000000
2022-04-27 23:38:24.668 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 0, 2
2022-04-27 23:38:24.668 [main] INFO  org.apache.logging.log4j.LogManager - Board state 001000000
2022-04-27 23:38:24.669 [main] INFO  org.apache.logging.log4j.LogManager - Board mirror found 001020000->000020001
2022-04-27 23:38:24.669 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000020001
2022-04-27 23:38:24.669 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 2, 0
2022-04-27 23:38:24.669 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000020101
2022-04-27 23:38:24.670 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000020121
2022-04-27 23:38:24.671 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 0, 0
2022-04-27 23:38:24.671 [main] INFO  org.apache.logging.log4j.LogManager - Board state 100020121
2022-04-27 23:38:24.671 [main] INFO  org.apache.logging.log4j.LogManager - Human: 120020121
2022-04-27 23:38:24.672 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000000000
2022-04-27 23:38:24.672 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 1, 0
2022-04-27 23:38:24.672 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000100000
2022-04-27 23:38:24.673 [main] INFO  org.apache.logging.log4j.LogManager - Board mirror found 000120000->000020010
2022-04-27 23:38:24.673 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000020010
2022-04-27 23:38:24.674 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 0, 1
2022-04-27 23:38:24.674 [main] INFO  org.apache.logging.log4j.LogManager - Board state 010020010
2022-04-27 23:38:24.675 [main] INFO  org.apache.logging.log4j.LogManager - Board mirror found 210020010->000121002
2022-04-27 23:38:24.675 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000121002
